id,name,sido,sigungu,lat,lng,cause,delay_months,delay_estimated,status,source_url,summary
1,금천 독산동 데이터센터,서울,금천구,37.4664,126.8895,전자파·소음·열섬·공청회 미실시,1.5,N,중단후재개,https://news.bizwatch.co.kr/article/real_estate/2026/07/01/0041,2026년 초 주민 민원으로 공사 약 1.5개월 중단. 반대서명 1천여명. 구청이 전자파·소음·열섬 시뮬레이션 공개 후 재개했으나 갈등 지속
2,김포 구래동 데이터센터,경기,김포시,37.6449,126.6283,전자파·소음·아파트와 초등학교 인접·사전공지 부재,48,N,중단후재개,http://www.shilbo.kr/news/articleView.html?idxno=262947,2021년 건축허가 후 착공까지 4년 지연. 김포시 착공신고 반려를 경기도 행정심판위가 부당 판정. 주민 반대서명 1만여명
3,고양 덕이동 데이터센터,경기,고양시,37.6851,126.7482,전자파·소음·2500세대 아파트와 학교 인접,4,Y,진행중분쟁,https://www.sisajournal-e.com/news/articleView.html?idxno=406457,마그나PFV(GS건설 대주주) 사업. 2024.6 착공신고 반려(보완요구 4차례). 행정심판 청구했으나 기각. 4개월 이상 착공 지연
4,고양 식사동 데이터센터,경기,고양시,37.6784,126.8046,소음·전자파·아파트와 150m 이격,10,N,진행중분쟁,http://www.mygoyang.com/news/articleView.html?idxno=84918,2024.9 건축허가 접수 후 도시계획위 재심의를 거쳐 2025.7 조건부 승인(경관식재·협의체 구성 등). 주민 반발 지속
5,안양 호계동 데이터센터,경기,안양시,37.3691,126.9490,아파트 인접 전자파·소음,24,N,무산,https://www.kyeonggi.com/article/20231030580057,효성중공업 계열 에버쇼 사업. 2021.6 허가 신청 후 지구단위계획 단계에서 2년 정체. 유해성 용역 결과도 불수용되어 2023.9 부지 매각으로 사업 포기
6,용인 죽전 퍼시픽써니 데이터센터,경기,용인시,37.3246,127.1078,전자파·환경오염·대형화물 교통,6,Y,지연후준공,https://www.kyeongin.com/article/1616575,2022년 주민 집회·공청회로 지연. 용인시 중재로 전력케이블 심도 확대 등 합의 후 정상화. 2025.10 준공
7,용인 공세동 네이버 데이터센터,경기,용인시,37.2585,127.1163,전자파·주민과 지역정치권 반발,48,Y,무산,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202311191539482940968,네이버 제2데이터센터. 2013년 추진·2017년 인허가 착수 시도 후 반발로 무산. 약 7천억 규모가 세종으로 이전
8,인천 청천동 데이터센터,인천,부평구,37.5218,126.6963,154kV 지중선로 전자파(아파트 185~600m),6,Y,지연후준공,https://www.incheontoday.com/news/articleView.html?idxno=249990,SK에코플랜트 시공. 부평구 공사중지 명령 후 매설심도 확대(2m→8m)·전자파 예측치 공개 합의. 2024.8 준공(120MW)
9,부천 삼정동 데이터센터,경기,부천시,37.5157,126.7530,특고압 굴착 전자파·도로관리심의 미이행,5,Y,중단후재개,https://www.asiae.co.kr/article/2024120416031054363,KT클라우드 사업. 2024.10 도로관리심의 부결(그 해 3번째). 분기 단위 심의라 다음 심의까지 수개월 대기
10,시흥 국가AI컴퓨팅센터,경기,시흥시,37.3651,126.7357,전자파·소음·전력소비·열관리·부동산 가치,12,Y,진행중분쟁,https://www.hankyung.com/article/2025110311691,서울대 시흥캠퍼스 240MW 하이퍼스케일(10조원). 3자 합의까지 갔으나 시민단체 반대로 절차 중단·좌초 위기
11,과천 주암동 데이터센터,경기,과천시,37.4531,127.0173,서초 우면동 주거지·학교와 80m 근접,6,Y,진행중분쟁,https://www.ajunews.com/view/20260828150356071,주암지구 사업. 이격거리 조례안 2회 부결(입법예고 의견서 1,700건). 서초구의회 건립계획 철회 촉구 결의
12,영등포 문래동 데이터센터,서울,영등포구,37.5178,126.8958,주택가 입지·관내 변전소 부담,0,N,대응중,https://www.kharn.kr/news/article.html?no=31594,영등포 관내 DC 8곳(허가심의 4곳 포함). 구의원 반대 성명. 자치구청장협의회가 규제 강화 안건 제안(2026.8)
